"Depth","Actinocyclus.curvatulus","Actinocyclus.dimorphus","Actinocyclus.ingens","Actinocyclus.ingens.var..nodus.","Actinocyclus.karstenii.","Actynocyclus.cf..karsteni","Actinocyclus.maccollumii..","Actinocyclus.spp.","Azpeitia.spp.","Chaetoceros.spp...resting.spores.","Chaetoceros.spp.","Cocconeis.spp.","Corethron.criophilum..","Coscinodiscus.spp.","Dactyliosolen.antarcticus.","Denticulopsis.spp..","Eucampia.antarctica.","Fragilariopsis.arcula..","Fragilariopsis.aurica.","Fragilariopsis.barronii..","Fragilariopsis.bohatyi.","Fragilariopsis.curta.","Fragilariopsis.kerguelensis.transitional.form..","Fragilariopsis.praeinterfrigidaria..","Fragilariopsis.interfrigidaria.","Fragilariopsis.ritscheri..","Fragilariopsis.barronii...ritscheri.transtitional.form","Fragilariopsis.clementia.","Fragilariopsis.spp.","Fragilariopsis.sublinearis.","Fragilariopsis.weaveri.","Proboscia.barboi..","Pyxilla.spp..","Rhizosolenia.antennata.var..semispina","Rhizosolenia.antennata.var..antennata","Rhizosolenia.crassa","Rhizosolenia.simplex","Rhizosolenia.sp..B.of.Harwood.and.Maruyama","Rhizosolenia.spp.","Rouxia.antarctica.","Rouxia.diploneides.","Rouxia.isopolica.","Rouxia.naviculoides.","Rouxia.spp.","Shionodiscus.oestrupi...tetraoestrupii.","Stellarima.microtrias.","Stephanopyxis.spp.","Synedropsis.spp.","Synedropsis.cheethamii.","Thalassiosira.complicata","Thalassiosira.fasciculata","Thalassiosira.insigna","Thalassiosira.inura","Thalassiosira.kolbei","Thalassiosira.lentiginosa","Thalassiosira.oliverana.","Thalassiosira.spp.","Thalassiosira.striata","Thalassiosira.torokina.","Thalassiosira.vulnifica","Thalassiothrix.spp."
56.53,0.00543478260869565,0,0.0516304347826087,0,0.160326086956522,0.0516304347826087,0,0,0.0108695652173913,0.0380434782608696,0,0,0,0,0,0.078804347826087,0.0244565217391304,0,0,0,0.0190217391304348,0,0,0,0.00271739130434783,0,0.00543478260869565,0,0.00543478260869565,0.0625,0,0,0,0,0.00271739130434783,0,0.0108695652173913,0,0.016304347826087,0,0,0,0,0.0217391304347826,0.0244565217391304,0,0.0217391304347826,0,0,0,0.0190217391304348,0.160326086956522,0.0760869565217391,0.00543478260869565,0.0298913043478261,0,0,0,0.0679347826086957,0,0.0271739130434783
56.72,0.0126984126984127,0,0.019047619047619,0,0.0698412698412698,0.0380952380952381,0,0.00634920634920635,0,0.0380952380952381,0,0,0,0,0,0.0380952380952381,0.053968253968254,0,0,0,0,0.00317460317460317,0.00634920634920635,0,0,0,0,0,0,0.0666666666666667,0.0253968253968254,0.019047619047619,0,0,0,0,0.019047619047619,0.019047619047619,0,0,0,0,0,0,0,0.0253968253968254,0.0253968253968254,0,0,0,0.0317460317460317,0.228571428571429,0.114285714285714,0.019047619047619,0,0.0380952380952381,0,0,0.0571428571428571,0,0.0253968253968254
56.91,0,0,0.026578073089701,0,0.079734219269103,0.0299003322259136,0,0.00996677740863787,0.00332225913621262,0.0332225913621262,0,0,0,0,0,0.053156146179402,0.0132890365448505,0,0,0,0.0132890365448505,0,0.00332225913621262,0,0,0,0.00996677740863787,0,0,0.0664451827242525,0.00332225913621262,0,0,0,0,0,0.0132890365448505,0.0199335548172757,0,0.00332225913621262,0,0.00664451827242525,0,0.0465116279069767,0.0132890365448505,0.0166112956810631,0.026578073089701,0,0,0,0.0166112956810631,0.272425249169435,0.0996677740863787,0.0132890365448505,0.0132890365448505,0.0132890365448505,0.0132890365448505,0,0.026578073089701,0,0.0398671096345515
57.1,0,0,0.0266666666666667,0,0.0866666666666667,0.0266666666666667,0,0.00666666666666667,0.02,0.0533333333333333,0,0,0,0,0,0.0533333333333333,0.0266666666666667,0,0.0266666666666667,0,0.0133333333333333,0,0,0,0,0.0333333333333333,0.02,0.0133333333333333,0.0266666666666667,0.06,0.00333333333333333,0,0,0,0,0,0.0133333333333333,0,0,0.00333333333333333,0,0,0,0.0133333333333333,0.00666666666666667,0.00333333333333333,0.0133333333333333,0,0,0,0.00666666666666667,0.24,0.08,0,0.00333333333333333,0.0266666666666667,0.0133333333333333,0,0.04,0,0.04
57.19,0,0,0.0124223602484472,0,0.0745341614906832,0.0186335403726708,0,0.0062111801242236,0.0434782608695652,0.0559006211180124,0,0.0062111801242236,0.0031055900621118,0,0.0062111801242236,0.0217391304347826,0.0217391304347826,0,0,0,0.0062111801242236,0.0031055900621118,0.0031055900621118,0,0,0.0093167701863354,0.0341614906832298,0,0.0031055900621118,0.031055900621118,0.015527950310559,0,0,0,0,0,0.0186335403726708,0.0124223602484472,0,0.015527950310559,0,0.0062111801242236,0,0.0434782608695652,0.0186335403726708,0.0062111801242236,0.0062111801242236,0.0031055900621118,0,0,0.0341614906832298,0.263975155279503,0.0714285714285714,0.0124223602484472,0.0186335403726708,0.0279503105590062,0.0217391304347826,0,0.0186335403726708,0,0.0248447204968944
57.38,0,0,0.0129449838187702,0,0.0647249190938511,0.0194174757281553,0,0.0194174757281553,0.0485436893203883,0.0614886731391586,0,0,0,0,0,0.0323624595469256,0.0161812297734628,0.00970873786407767,0,0.00970873786407767,0,0,0,0.00323624595469256,0,0,0,0.0129449838187702,0.0161812297734628,0.0517799352750809,0.0194174757281553,0,0,0,0,0,0.00647249190938511,0.00647249190938511,0.0129449838187702,0.0194174757281553,0,0.00323624595469256,0,0.00970873786407767,0.0258899676375405,0.0129449838187702,0.0129449838187702,0.00970873786407767,0,0,0.029126213592233,0.177993527508091,0.197411003236246,0,0.0161812297734628,0,0.0129449838187702,0,0.0258899676375405,0,0.0226537216828479
57.47,0,0,0.0328947368421053,0,0.0855263157894737,0.0888157894736842,0,0,0,0.0131578947368421,0,0,0,0,0,0.00986842105263158,0.0164473684210526,0,0,0.00328947368421053,0.0197368421052632,0,0,0,0.0164473684210526,0,0,0,0.00986842105263158,0.0394736842105263,0.00986842105263158,0,0,0,0,0,0,0,0,0.00328947368421053,0,0.00657894736842105,0,0.0131578947368421,0.00986842105263158,0,0.0131578947368421,0,0,0,0.0427631578947368,0.210526315789474,0.207236842105263,0,0.0328947368421053,0.0328947368421053,0.0164473684210526,0,0.0328947368421053,0,0.0328947368421053
57.57,0.0191082802547771,0,0.0254777070063694,0,0.0764331210191083,0.130573248407643,0,0.00636942675159236,0.0191082802547771,0.0254777070063694,0,0,0,0,0,0.0191082802547771,0.0159235668789809,0,0,0,0.00636942675159236,0.00318471337579618,0,0.00955414012738853,0,0.00955414012738853,0,0,0.0159235668789809,0.0286624203821656,0.0254777070063694,0,0,0,0,0,0.00636942675159236,0,0.0127388535031847,0.00636942675159236,0,0,0.00955414012738853,0.0127388535031847,0.0254777070063694,0.0222929936305732,0.0159235668789809,0,0,0,0.0445859872611465,0.232484076433121,0.124203821656051,0.00636942675159236,0.00318471337579618,0.0127388535031847,0,0,0.0127388535031847,0,0.0159235668789809
57.66,0,0,0.0227272727272727,0,0.0779220779220779,0.00974025974025974,0,0.0162337662337662,0.0162337662337662,0.038961038961039,0,0,0,0,0,0.0357142857142857,0.0194805194805195,0,0,0.0194805194805195,0.012987012987013,0,0,0,0,0.0162337662337662,0,0,0.0194805194805195,0.0519480519480519,0.0292207792207792,0,0,0,0,0,0.012987012987013,0.0162337662337662,0,0.012987012987013,0,0,0,0.0292207792207792,0.0357142857142857,0.0292207792207792,0.00649350649350649,0,0.00649350649350649,0,0.0162337662337662,0.207792207792208,0.123376623376623,0.012987012987013,0,0.00974025974025974,0.0194805194805195,0,0.0227272727272727,0,0.0519480519480519
57.85,0,0,0.0333333333333333,0,0.113333333333333,0.0133333333333333,0,0.03,0.0166666666666667,0.0333333333333333,0,0,0,0,0.00333333333333333,0.02,0.0266666666666667,0.00666666666666667,0,0,0.0133333333333333,0,0,0,0,0.02,0.00666666666666667,0,0.0266666666666667,0.04,0,0,0,0,0,0,0.00666666666666667,0.0133333333333333,0.00666666666666667,0.0266666666666667,0,0,0,0.00333333333333333,0.0333333333333333,0.0133333333333333,0.00666666666666667,0,0,0,0.0166666666666667,0.226666666666667,0.133333333333333,0.00666666666666667,0.0133333333333333,0.01,0.02,0,0.0266666666666667,0,0.0333333333333333
58.14,0,0,0.0364741641337386,0,0.130699088145897,0,0,0,0,0.0547112462006079,0,0,0,0,0,0.00911854103343465,0.0182370820668693,0,0,0,0.00911854103343465,0.0060790273556231,0,0,0,0.0395136778115502,0,0.0182370820668693,0,0.0455927051671733,0,0,0,0,0,0,0.0212765957446809,0,0,0.0668693009118541,0,0.0121580547112462,0,0,0.0364741641337386,0.0212765957446809,0,0,0,0,0.0303951367781155,0.212765957446809,0.127659574468085,0,0,0.0182370820668693,0.00911854103343465,0,0.0516717325227964,0,0.0243161094224924
58.42,0,0,0,0,0.119601328903654,0,0,0,0.0431893687707641,0.0332225913621262,0,0,0,0,0,0.079734219269103,0.0232558139534884,0,0.00996677740863787,0.00664451827242525,0.00332225913621262,0,0,0,0,0.00332225913621262,0,0,0,0.0498338870431894,0.0166112956810631,0,0,0,0,0,0.0132890365448505,0,0.00664451827242525,0.0132890365448505,0,0,0,0.00664451827242525,0.0431893687707641,0,0,0,0,0,0.00332225913621262,0.232558139534884,0.142857142857143,0,0,0.0332225913621262,0,0,0.0398671096345515,0,0.0764119601328904
58.705,0,0,0.0401234567901235,0,0.145061728395062,0,0,0.0154320987654321,0,0.037037037037037,0,0,0,0,0,0.114197530864198,0.00925925925925926,0,0.00617283950617284,0,0.0246913580246914,0,0,0,0,0.0339506172839506,0.00308641975308642,0,0.0185185185185185,0.0246913580246914,0.0154320987654321,0,0,0,0,0,0.00617283950617284,0.00308641975308642,0.0154320987654321,0.0277777777777778,0,0,0,0,0.00617283950617284,0,0.0277777777777778,0,0,0.00308641975308642,0,0.132716049382716,0.16358024691358,0.0123456790123457,0,0.0555555555555556,0,0,0.0216049382716049,0,0.037037037037037
58.8,0,0,0.0376175548589342,0,0.119122257053292,0,0,0,0,0.0626959247648903,0,0,0,0.00626959247648903,0.0125391849529781,0.0470219435736677,0.0250783699059561,0,0,0.0188087774294671,0.0407523510971787,0.0125391849529781,0,0.00940438871473354,0,0.00940438871473354,0,0,0,0.0470219435736677,0.0188087774294671,0.0125391849529781,0,0,0,0,0.0219435736677116,0,0,0.0188087774294671,0,0,0,0,0.0188087774294671,0.0156739811912226,0.0188087774294671,0,0,0,0.0501567398119122,0.0752351097178683,0.125391849529781,0.00940438871473354,0,0.0564263322884013,0,0,0.0532915360501567,0,0.0564263322884013
59.08,0,0,0.0580645161290323,0,0.112903225806452,0,0,0.00645161290322581,0,0.0451612903225806,0,0,0,0,0.032258064516129,0.0903225806451613,0.0580645161290323,0,0,0,0.0645161290322581,0,0,0,0,0.0129032258064516,0,0,0.0290322580645161,0.0806451612903226,0,0.0129032258064516,0,0,0,0.0032258064516129,0.00645161290322581,0,0,0.00967741935483871,0,0,0,0.0193548387096774,0.0258064516129032,0.0258064516129032,0.0193548387096774,0,0,0,0,0.0580645161290323,0.129032258064516,0.0032258064516129,0,0.00645161290322581,0,0,0.0516129032258065,0,0.0387096774193548
61.25,0,0,0.010989010989011,0,0.104395604395604,0,0,0.0164835164835165,0,0.0164835164835165,0,0,0.00549450549450549,0,0.010989010989011,0.00549450549450549,0.0137362637362637,0,0.0824175824175824,0,0.156593406593407,0,0,0,0.0576923076923077,0.0192307692307692,0.0192307692307692,0,0.010989010989011,0.0879120879120879,0.00549450549450549,0,0,0,0,0,0,0,0,0.0521978021978022,0,0,0.00274725274725275,0.0274725274725275,0.032967032967033,0.00274725274725275,0.010989010989011,0,0,0,0,0.0164835164835165,0.10989010989011,0.00549450549450549,0,0.0549450549450549,0.0164835164835165,0,0.00549450549450549,0,0.0384615384615385
