name,code,class
Actinocyclus curvatulus,A. curvatulus,
Actinocyclus dimorphus,A. dimorphus,
Actinocyclus ingens,A. ingens,
Actinocyclus ingens var. nodus*,A. ingens var. nodus,
Actinocyclus karstenii ,A. karstenii,sea ice
Actynocyclus cf. karsteni,A. cf. karsteni,
Actinocyclus maccollumii ,A. maccollumii,
Actinocyclus spp.,A. spp.,
Azpeitia spp.,Azpeitia spp.,
Chaetoceros spp. (resting spores),Chaetoceros spp. rest.,
Chaetoceros spp.,Chaetoceros spp.,
Cocconeis spp.,Cocconeis spp.,
Corethron criophilum,Corethron criophilum,
Coscinodiscus spp.,Coscinodiscus spp.,
Dactyliosolen antarcticus,Dactyliosolen antarcticus,open ocean
Denticulopsis spp.*,Denticulopsis spp.,
Eucampia antarctica,Eucampia antarctica,sea ice
Fragilariopsis arcula ,F. arcula,
Fragilariopsis aurica,F. aurica,
Fragilariopsis barronii ,F. barronii,open ocean
Fragilariopsis bohatyi,F. bohatyi,sea ice
Fragilariopsis curta,F. curta,sea ice
Fragilariopsis kerguelensis transitional form  ,F. kerguelensis trans.,
Fragilariopsis praeinterfrigidaria ,F. praeinterfrigidaria,
Fragilariopsis interfrigidaria ,F. interfrigidaria,
Fragilariopsis ritscheri ,F. ritscheri,sea ice
Fragilariopsis barronii / ritscheri transtitional form,F. barronii ritscheri trans.,
Fragilariopsis clementia ,F. clementia,warm water
Fragilariopsis spp.,F. spp.,
Fragilariopsis sublinearis,F. sublinearis,sea ice
Fragilariopsis weaveri,F. weaveri,warm water
Proboscia barboi ,Proboscia barboi ,
Pyxilla spp.*,Pyxilla spp.,
Rhizosolenia antennata var. semispina,Rhizo. antennata semispina,
Rhizosolenia antennata var. antennata,Rhizo. antennata antennata,
Rhizosolenia crassa,Rhizo. crassa,
Rhizosolenia simplex,Rhizo. simplex,
Rhizosolenia sp. B of Harwood and Maruyama,Rhizo. sp. B,
Rhizosolenia spp.,Rhizosolenia spp.,
Rouxia antarctica,R. antarctica,open ocean
Rouxia diploneides,R. diploneides,
Rouxia isopolica ,R. isopolica,open ocean
Rouxia naviculoides ,R. naviculoides,open ocean
Rouxia spp.,R. spp.,
Shionodiscus oestrupi / tetraoestrupii ,Shionodiscus,
Stellarima microtrias,Stellarima microtrias,sea ice
Stephanopyxis spp.,Stellarima microtrias ,
Synedropsis spp.,Synedropsis spp.,
Synedropsis cheethamii ,Synedropsis cheethamii ,
Thalassiosira complicata,T. complicata,
Thalassiosira fasciculata,T. fasciculata,
Thalassiosira insigna,T. insigna,
Thalassiosira inura,T. inura,
Thalassiosira kolbei,T. kolbei,
Thalassiosira lentiginosa,T. lentiginosa,
Thalassiosira oliverana ,T. oliverana,open ocean
Thalassiosira spp.,T. spp,
Thalassiosira striata,T. striata,
Thalassiosira torokina ,T. torokina,sea ice
Thalassiosira vulnifica,T. vulnifica,
Thalassiothrix spp.,T.hrix spp.,open ocean
